access_id,student_id,course_id,content_type,content_id,timestamp,time_spent_minutes
A00028,S1038,DS200,reading,DS200-R0201,2025-02-28 11:08:36,19
A00029,S1049,CS301,video,CS301-V0605,2025-02-17 21:25:03,57
A00030,S1016,DS400,lecture,DS400-L0301,2025-04-19 16:12:39,81
A00031,S1040,CS301,video,CS301-V0104,2025-02-09 17:01:22,1
A00032,S1001,DS200,lecture,DS200-L1003,2025-03-14 06:47:37,89
A00033,S1050,CS301,assignment,CS301-A0302,2025-02-15 18:20:39,82
A00034,S1018,DS400,quiz,DS400-Q0702,2025-02-18 19:39:14,79
A00035,S1045,CS101,discussion,CS101-D0304,2025-04-02 07:06:17,12
A00036,S1041,MATH150,reading,MATH150-R0701,2025-03-28 00:29:05,31
A00037,S1013,CS101,discussion,CS101-D0205,2025-03-09 00:13:00,70
A00038,S1033,DS200,quiz,DS200-Q0403,2025-02-07 00:35:07,25
A00039,S1008,DS200,assignment,DS200-A0804,2025-02-18 23:47:23,21
A00040,S1043,CS101,lecture,CS101-L0603,2025-02-22 05:18:18,56
A00041,S1017,MATH150,discussion,MATH150-D0801,2025-02-12 00:14:39,7
A00042,S1035,DS200,video,DS200-V0104,2025-03-23 20:44:17,15
A00043,S1005,DS200,assignment,DS200-A0805,2025-03-30 03:52:06,42
A00044,S1027,DS200,assignment,DS200-A0602,2025-04-18 12:04:10,15
A00045,S1021,DS200,lecture,DS200-L0404,2025-04-27 07:54:27,26
A00046,S1025,DS200,lecture,DS200-L0805,2025-03-20 21:40:38,7
A00047,S1028,DS200,video,DS200-V1004,2025-02-19 03:50:13,50
A00048,S1024,DS200,quiz,DS200-Q0403,2025-02-28 01:21:33,26
A00049,S1022,DS200,lecture,DS200-L1001,2025-03-01 02:46:50,18
A00050,S1008,CS301,quiz,CS301-Q0702,2025-04-16 16:38:42,44
A00051,S1015,MATH150,discussion,MATH150-D0305,2025-04-30 19:04:31,22
A00052,S1037,DS400,video,DS400-V0204,2025-04-26 01:49:08,67
A00053,S1032,DS200,discussion,DS200-D0804,2025-02-28 23:26:27,2
A00054,S1047,CS301,assignment,CS301-A0402,2025-03-05 15:34:49,56
A00055,S1038,DS200,discussion,DS200-D0305,2025-04-30 02:00:14,1
A00056,S1027,CS101,lecture,CS101-L0805,2025-02-05 03:16:01,55
A00057,S1034,CS301,quiz,CS301-Q0204,2025-03-21 23:01:24,31
A00058,S1006,DS400,lecture,DS400-L0702,2025-02-14 18:10:00,46
A00059,S1019,DS200,assignment,DS200-A0201,2025-03-20 10:54:03,86
A00060,S1020,DS200,assignment,DS200-A0805,2025-04-15 10:13:47,75
A00061,S1002,CS301,quiz,CS301-Q0304,2025-02-19 19:52:49,48
A00062,S1041,CS301,assignment,CS301-A0101,2025-03-11 05:45:33,89
A00063,S1022,DS400,lecture,DS400-L0504,2025-04-15 23:16:54,35
A00064,S1045,DS400,discussion,DS400-D1002,2025-04-19 08:22:50,88
A00065,S1006,DS400,reading,DS400-R0105,2025-05-01 05:23:19,87
A00066,S1024,CS101,lecture,CS101-L0703,2025-03-19 01:16:34,80
A00067,S1003,MATH150,reading,MATH150-R0305,2025-04-11 07:24:00,9
A00068,S1036,DS200,video,DS200-V0602,2025-03-26 06:21:48,15
A00069,S1042,CS301,assignment,CS301-A1002,2025-04-15 23:56:49,29
A00070,S1021,MATH150,reading,MATH150-R0904,2025-02-28 18:43:15,7
A00071,S1005,MATH150,reading,MATH150-R0804,2025-03-22 13:23:20,68
A00072,S1008,CS301,assignment,CS301-A0905,2025-04-30 04:47:55,38
A00073,S1029,DS400,reading,DS400-R0202,2025-04-29 11:12:38,59
A00074,S1006,CS101,quiz,CS101-Q0303,2025-02-09 08:13:32,14
A00075,S1011,MATH150,lecture,MATH150-L0304,2025-02-16 11:36:41,27
A00076,S1034,CS101,reading,CS101-R0705,2025-02-14 16:34:17,61
A00077,S1023,CS301,quiz,CS301-Q0103,2025-02-20 05:28:07,9
A00078,S1002,DS200,discussion,DS200-D0604,2025-03-30 01:24:18,44
A00079,S1042,MATH150,quiz,MATH150-Q1005,2025-04-24 14:42:47,71
A00080,S1029,CS301,reading,CS301-R1002,2025-04-30 02:04:26,40
A00081,S1011,MATH150,video,MATH150-V0803,2025-03-01 20:21:18,7
A00082,S1010,MATH150,reading,MATH150-R0802,2025-04-02 22:26:18,21
A00083,S1046,DS400,reading,DS400-R0302,2025-04-24 08:42:36,89
A00084,S1043,DS200,video,DS200-V0401,2025-02-05 20:48:55,41
A00085,S1037,DS200,quiz,DS200-Q0503,2025-02-19 18:50:01,27
A00086,S1036,CS101,assignment,CS101-A0603,2025-02-16 05:39:38,48
A00087,S1029,DS400,video,DS400-V0903,2025-02-13 16:01:04,4
A00088,S1026,CS301,video,CS301-V0803,2025-02-17 00:33:21,1
A00089,S1048,DS400,discussion,DS400-D0603,2025-03-19 21:13:02,38
A00090,S1049,DS400,assignment,DS400-A0305,2025-04-13 14:33:20,57
A00091,S1022,CS101,assignment,CS101-A0801,2025-02-15 09:48:19,87
A00092,S1036,CS101,reading,CS101-R0104,2025-04-02 19:51:21,29
A00093,S1029,MATH150,lecture,MATH150-L0601,2025-04-01 22:01:14,83
A00094,S1013,DS400,discussion,DS400-D0403,2025-02-20 20:58:34,3
A00095,S1006,DS400,quiz,DS400-Q0205,2025-03-12 03:59:57,25
A00096,S1032,MATH150,discussion,MATH150-D1005,2025-02-07 07:31:33,86
A00097,S1024,CS301,video,CS301-V0703,2025-03-11 08:37:59,48
A00098,S1001,MATH150,reading,MATH150-R0603,2025-03-17 03:11:34,72
A00099,S1006,DS200,assignment,DS200-A0804,2025-04-20 21:38:54,57
A00100,S1019,DS200,assignment,DS200-A0704,2025-02-15 10:08:30,76
A00101,S1039,CS101,video,CS101-V0403,2025-03-19 22:51:15,68
A00102,S1022,CS101,discussion,CS101-D0701,2025-02-02 12:20:55,53
A00103,S1041,MATH150,quiz,MATH150-Q0305,2025-03-18 17:44:35,73
A00104,S1049,DS200,video,DS200-V0304,2025-03-01 23:25:25,71
A00105,S1032,CS101,reading,CS101-R1003,2025-03-21 20:15:47,72
A00106,S1048,CS301,video,CS301-V0101,2025-02-16 19:49:38,34
A00107,S1020,CS301,lecture,CS301-L0504,2025-02-19 06:53:35,63
A00108,S1045,DS200,lecture,DS200-L0203,2025-03-21 17:48:57,9
A00109,S1039,MATH150,discussion,MATH150-D0805,2025-03-16 05:02:19,34
A00110,S1041,CS301,assignment,CS301-A0203,2025-03-23 15:11:50,74
A00111,S1002,MATH150,video,MATH150-V1001,2025-02-16 01:26:59,41
A00112,S1030,DS200,reading,DS200-R0301,2025-02-28 08:17:36,47
A00113,S1027,MATH150,lecture,MATH150-L0503,2025-03-25 07:00:42,82
A00114,S1005,DS400,video,DS400-V0301,2025-04-01 00:08:35,22
A00115,S1035,MATH150,reading,MATH150-R0503,2025-04-09 10:07:30,90
A00116,S1045,MATH150,lecture,MATH150-L0905,2025-03-08 00:16:52,19
A00117,S1001,DS200,discussion,DS200-D0503,2025-04-18 11:40:45,63
A00118,S1027,MATH150,video,MATH150-V0202,2025-02-16 21:03:52,65
A00119,S1015,DS200,discussion,DS200-D1005,2025-04-25 00:24:39,69
A00120,S1046,DS400,assignment,DS400-A0204,2025-03-18 13:56:53,10
A00121,S1008,DS200,lecture,DS200-L0803,2025-03-04 02:56:39,89
A00122,S1024,DS200,quiz,DS200-Q1005,2025-04-17 00:13:05,44
A00123,S1012,MATH150,lecture,MATH150-L0202,2025-02-14 08:51:07,89
A00124,S1010,DS200,reading,DS200-R0302,2025-02-14 12:21:21,11
A00125,S1028,CS101,lecture,CS101-L0104,2025-04-16 09:38:30,56
A00126,S1003,DS200,lecture,DS200-L0105,2025-03-31 11:07:34,8
A00127,S1031,CS101,reading,CS101-R0101,2025-03-03 03:48:40,86
A00128,S1001,CS101,lecture,CS101-L1002,2025-03-30 22:08:23,26
A00129,S1012,MATH150,lecture,MATH150-L0202,2025-04-24 23:55:32,36
A00130,S1038,MATH150,reading,MATH150-R0305,2025-04-18 16:19:35,79
A00131,S1016,DS400,discussion,DS400-D0201,2025-04-22 10:42:01,75
A00132,S1049,CS101,discussion,CS101-D0402,2025-03-01 05:41:58,22
A00133,S1049,DS400,lecture,DS400-L0202,2025-05-02 05:47:34,65
A00134,S1046,CS301,reading,CS301-R1002,2025-03-16 13:25:16,87
A00135,S1007,DS200,reading,DS200-R0704,2025-02-22 16:13:12,66
A00136,S1015,CS301,lecture,CS301-L0601,2025-03-19 02:33:18,15
A00137,S1034,DS200,quiz,DS200-Q0603,2025-03-27 23:08:14,6
A00138,S1006,MATH150,quiz,MATH150-Q0204,2025-03-01 09:47:17,59
A00139,S1039,MATH150,assignment,MATH150-A0802,2025-03-27 15:38:35,53
A00140,S1019,CS301,video,CS301-V0204,2025-04-08 19:24:56,48
A00141,S1012,CS101,assignment,CS101-A0801,2025-03-12 08:32:02,57
A00142,S1034,CS101,lecture,CS101-L0304,2025-03-12 18:26:52,89
A00143,S1038,CS101,assignment,CS101-A0301,2025-03-09 04:25:52,26
A00144,S1022,DS200,discussion,DS200-D0701,2025-02-24 11:33:04,55
A00145,S1047,CS301,reading,CS301-R1005,2025-02-28 08:59:53,83
A00146,S1026,MATH150,quiz,MATH150-Q1004,2025-03-20 21:58:08,66
A00147,S1018,DS200,quiz,DS200-Q0201,2025-02-26 05:04:30,63
A00148,S1032,DS200,assignment,DS200-A0301,2025-02-11 13:01:05,7
A00149,S1005,CS301,assignment,CS301-A0102,2025-03-11 00:31:30,78
A00150,S1044,MATH150,video,MATH150-V0505,2025-04-03 09:09:46,13
A00151,S1049,CS101,assignment,CS101-A0904,2025-04-19 20:07:25,60
A00152,S1013,MATH150,assignment,MATH150-A0804,2025-03-22 21:10:57,34
A00153,S1035,MATH150,discussion,MATH150-D0901,2025-04-17 01:05:34,5
A00154,S1028,CS101,quiz,CS101-Q0803,2025-04-25 16:16:00,49
A00155,S1029,CS301,lecture,CS301-L0102,2025-03-27 22:03:09,85
A00156,S1050,MATH150,assignment,MATH150-A0304,2025-03-15 16:29:07,18
A00157,S1020,CS301,quiz,CS301-Q0205,2025-04-08 09:50:48,63
A00158,S1043,DS400,assignment,DS400-A0905,2025-03-19 11:40:54,61
A00159,S1036,DS200,discussion,DS200-D0104,2025-02-27 10:40:15,64
A00160,S1038,CS301,discussion,CS301-D0603,2025-03-04 23:42:16,8
A00161,S1002,DS400,lecture,DS400-L0303,2025-03-07 17:52:02,75
A00162,S1002,MATH150,quiz,MATH150-Q0204,2025-03-07 09:10:01,46
A00163,S1027,MATH150,lecture,MATH150-L0402,2025-02-24 15:38:04,83
A00164,S1020,DS400,lecture,DS400-L0203,2025-02-12 23:39:46,44
A00165,S1011,CS101,discussion,CS101-D0601,2025-03-18 14:55:20,85
A00166,S1028,DS400,discussion,DS400-D0703,2025-02-03 20:27:58,90
A00167,S1031,DS400,lecture,DS400-L0604,2025-03-29 05:56:44,50
A00168,S1021,DS400,lecture,DS400-L0801,2025-04-09 22:45:18,87
A00169,S1014,MATH150,quiz,MATH150-Q0903,2025-02-18 01:11:42,79
A00170,S1020,MATH150,quiz,MATH150-Q0404,2025-04-04 13:37:04,10
A00171,S1035,DS200,reading,DS200-R0501,2025-03-02 17:43:55,74
A00172,S1026,DS200,discussion,DS200-D0205,2025-02-11 01:40:15,76
A00173,S1022,MATH150,lecture,MATH150-L1005,2025-03-20 00:22:52,55
A00174,S1014,MATH150,lecture,MATH150-L0505,2025-04-20 22:40:35,39
A00175,S1028,DS400,reading,DS400-R0404,2025-03-12 22:21:17,33
A00176,S1040,DS400,quiz,DS400-Q0902,2025-04-28 09:33:48,3
A00177,S1041,DS400,video,DS400-V1004,2025-02-22 13:08:29,85
A00178,S1048,CS301,reading,CS301-R0905,2025-04-25 16:02:04,56
A00179,S1037,CS101,discussion,CS101-D0403,2025-03-18 18:35:51,19
A00180,S1016,DS200,assignment,DS200-A0504,2025-03-13 16:54:04,41
A00181,S1005,DS200,quiz,DS200-Q0503,2025-04-05 14:18:50,21
A00182,S1017,DS400,video,DS400-V0702,2025-02-12 21:32:10,20
A00183,S1013,CS101,video,CS101-V0504,2025-03-20 23:56:54,72
A00184,S1028,CS301,assignment,CS301-A0102,2025-02-17 08:15:27,35
A00185,S1009,CS101,reading,CS101-R0505,2025-02-18 23:00:03,83
A00186,S1003,CS301,lecture,CS301-L0101,2025-03-04 08:22:36,78
A00187,S1020,CS101,quiz,CS101-Q0601,2025-03-12 09:45:28,18
A00188,S1016,CS101,discussion,CS101-D0901,2025-03-24 13:10:29,86
A00189,S1038,DS400,reading,DS400-R0801,2025-02-24 23:41:05,77
A00190,S1008,MATH150,reading,MATH150-R1004,2025-04-21 02:40:21,31
A00191,S1028,DS200,video,DS200-V0202,2025-02-22 15:50:05,36
A00192,S1029,CS301,reading,CS301-R1001,2025-03-21 11:32:37,69
A00193,S1024,CS101,reading,CS101-R0904,2025-03-19 23:24:57,88
A00194,S1016,MATH150,video,MATH150-V0604,2025-04-12 08:33:37,48
A00195,S1020,CS101,assignment,CS101-A1001,2025-04-24 13:41:58,85
A00196,S1004,DS200,reading,DS200-R0904,2025-03-03 21:34:24,82
A00197,S1045,MATH150,assignment,MATH150-A0205,2025-04-27 01:04:20,31
A00198,S1029,CS301,lecture,CS301-L0703,2025-03-03 02:02:44,12
A00199,S1049,DS200,reading,DS200-R0402,2025-05-01 19:06:20,57
A00200,S1041,MATH150,assignment,MATH150-A0701,2025-02-28 11:28:36,11
A00201,S1050,CS301,quiz,CS301-Q0703,2025-04-12 12:33:22,55
A00202,S1007,DS200,assignment,DS200-A0505,2025-02-08 07:34:20,46
A00203,S1027,DS400,assignment,DS400-A0903,2025-03-17 21:06:07,89
A00204,S1002,CS101,assignment,CS101-A0304,2025-04-19 16:08:02,83
A00205,S1009,CS101,quiz,CS101-Q0403,2025-03-04 07:57:01,74
A00206,S1006,CS101,video,CS101-V0405,2025-04-12 03:39:00,84
A00207,S1049,DS200,discussion,DS200-D0703,2025-03-17 16:58:23,62
A00208,S1048,DS200,reading,DS200-R0305,2025-04-23 03:26:09,42
A00209,S1019,DS200,lecture,DS200-L0703,2025-02-19 12:45:29,51
A00210,S1025,DS400,video,DS400-V0101,2025-05-02 11:55:59,72
A00211,S1042,DS400,assignment,DS400-A0401,2025-03-18 18:27:13,26
A00212,S1017,DS200,lecture,DS200-L0705,2025-03-15 12:20:34,77
A00213,S1017,DS200,lecture,DS200-L0602,2025-03-28 22:41:50,16
A00214,S1001,DS400,quiz,DS400-Q0804,2025-02-13 09:04:45,29
A00215,S1046,DS200,video,DS200-V0503,2025-04-15 08:15:49,64
A00216,S1025,DS200,quiz,DS200-Q0405,2025-02-22 19:13:55,37
A00217,S1047,DS200,quiz,DS200-Q0304,2025-04-19 19:29:57,19
A00218,S1002,MATH150,reading,MATH150-R0405,2025-03-17 15:46:38,32
A00219,S1024,DS400,assignment,DS400-A0801,2025-02-02 20:58:24,61
A00220,S1009,MATH150,assignment,MATH150-A0702,2025-04-12 03:07:07,50
A00221,S1046,CS301,assignment,CS301-A1003,2025-02-08 23:09:26,13
A00222,S1036,CS101,lecture,CS101-L0602,2025-03-19 14:16:39,46
A00223,S1039,DS400,assignment,DS400-A0101,2025-02-26 11:59:20,65
A00224,S1040,CS301,reading,CS301-R0703,2025-02-14 17:03:46,72
A00225,S1003,DS400,video,DS400-V0502,2025-03-22 18:44:25,64
A00226,S1022,CS301,video,CS301-V0203,2025-04-11 19:56:27,68
A00227,S1028,DS200,reading,DS200-R0203,2025-02-06 03:49:51,17
A00228,S1032,MATH150,assignment,MATH150-A0604,2025-03-01 08:11:23,34
A00229,S1040,MATH150,discussion,MATH150-D0604,2025-04-29 13:00:05,22
A00230,S1021,CS301,video,CS301-V0904,2025-02-07 00:56:32,25
A00231,S1010,CS101,video,CS101-V0301,2025-03-19 12:40:54,34
A00232,S1011,CS301,quiz,CS301-Q0204,2025-02-05 19:58:37,57
A00233,S1023,DS400,quiz,DS400-Q0804,2025-02-12 19:02:53,19
A00234,S1008,MATH150,lecture,MATH150-L0403,2025-02-19 09:52:55,22
A00235,S1048,DS400,reading,DS400-R1005,2025-02-22 11:50:40,75
A00236,S1001,DS400,discussion,DS400-D0304,2025-05-02 05:38:37,10
A00237,S1016,CS301,assignment,CS301-A0203,2025-02-04 09:25:18,37
A00238,S1044,CS101,quiz,CS101-Q0605,2025-02-12 04:05:10,42
A00239,S1010,CS101,lecture,CS101-L0804,2025-03-17 22:57:05,81
A00240,S1018,DS400,assignment,DS400-A0103,2025-02-06 03:05:47,84
A00241,S1040,CS301,reading,CS301-R1002,2025-02-22 09:26:45,7
A00242,S1042,MATH150,reading,MATH150-R0101,2025-03-26 23:53:31,78
A00243,S1025,CS101,quiz,CS101-Q0502,2025-02-25 04:21:10,52
A00244,S1006,CS101,video,CS101-V0304,2025-04-18 13:16:29,52
A00245,S1019,DS200,lecture,DS200-L0504,2025-04-20 15:37:29,56
A00246,S1048,MATH150,assignment,MATH150-A1002,2025-03-08 17:33:33,86
A00247,S1007,MATH150,discussion,MATH150-D0404,2025-03-17 02:52:53,50
A00248,S1031,MATH150,discussion,MATH150-D1004,2025-02-10 15:09:31,55
A00249,S1024,DS400,video,DS400-V0704,2025-02-10 21:30:31,6
A00250,S1033,MATH150,quiz,MATH150-Q0402,2025-03-21 23:06:36,68
A00251,S1041,DS400,lecture,DS400-L0504,2025-03-16 08:02:16,11
A00252,S1031,MATH150,video,MATH150-V0303,2025-04-24 13:51:04,32
A00253,S1034,CS301,reading,CS301-R1001,2025-03-27 08:50:07,10
A00254,S1003,DS400,lecture,DS400-L0904,2025-03-13 23:19:49,13
A00255,S1030,DS400,reading,DS400-R0603,2025-03-30 17:23:51,11
A00256,S1050,DS400,lecture,DS400-L0204,2025-02-19 07:18:44,24
A00257,S1026,CS101,lecture,CS101-L0703,2025-03-04 08:28:24,76
A00258,S1047,CS301,assignment,CS301-A0805,2025-04-21 07:18:55,34
A00259,S1022,DS200,video,DS200-V0301,2025-04-15 09:37:48,78
A00260,S1017,CS101,quiz,CS101-Q0901,2025-02-02 10:33:00,51
A00261,S1008,CS101,video,CS101-V0804,2025-04-10 00:57:03,52
A00262,S1043,DS400,assignment,DS400-A0803,2025-04-02 22:08:00,79
A00263,S1024,CS301,reading,CS301-R0202,2025-02-14 23:45:49,2
A00264,S1013,CS101,lecture,CS101-L0401,2025-02-22 04:27:56,62
A00265,S1042,DS200,assignment,DS200-A0404,2025-04-24 15:08:12,81
A00266,S1035,DS200,lecture,DS200-L0504,2025-02-16 06:10:35,61
A00267,S1028,CS101,lecture,CS101-L0302,2025-04-14 14:24:37,90
A00268,S1029,CS301,quiz,CS301-Q0104,2025-03-30 16:36:05,32
A00269,S1013,MATH150,discussion,MATH150-D0701,2025-03-06 06:51:09,2
A00270,S1007,CS301,quiz,CS301-Q0805,2025-03-31 17:19:56,71
A00271,S1019,CS101,quiz,CS101-Q0704,2025-03-23 17:07:51,76
A00272,S1047,DS400,assignment,DS400-A0802,2025-04-12 05:20:33,8
A00273,S1034,CS101,quiz,CS101-Q1003,2025-03-27 14:06:17,9
A00274,S1018,CS301,quiz,CS301-Q0204,2025-04-03 07:54:50,83
A00275,S1023,CS301,assignment,CS301-A0701,2025-02-17 12:51:34,37
A00276,S1047,DS200,quiz,DS200-Q0604,2025-02-24 09:45:54,65
A00277,S1015,DS400,assignment,DS400-A0605,2025-04-25 17:37:01,85
A00278,S1030,DS200,reading,DS200-R0704,2025-04-23 18:08:39,87
A00279,S1042,MATH150,quiz,MATH150-Q0305,2025-02-21 23:45:23,37
A00280,S1045,CS101,assignment,CS101-A0802,2025-02-18 16:43:23,26
A00281,S1011,DS400,quiz,DS400-Q0204,2025-03-21 19:23:18,39
A00282,S1016,DS200,discussion,DS200-D0101,2025-03-08 16:57:33,34
A00283,S1023,DS200,video,DS200-V0901,2025-04-21 04:56:31,9
A00284,S1022,CS301,lecture,CS301-L1002,2025-02-13 14:08:56,72
A00285,S1015,CS301,reading,CS301-R0603,2025-04-17 13:41:48,6
A00286,S1050,DS400,reading,DS400-R0305,2025-04-01 13:01:19,86
A00287,S1007,CS101,quiz,CS101-Q0801,2025-02-12 03:40:17,79
A00288,S1040,CS101,discussion,CS101-D0105,2025-02-12 02:33:04,22
A00289,S1041,CS101,video,CS101-V0602,2025-04-13 14:06:08,38
A00290,S1046,CS301,discussion,CS301-D0801,2025-02-16 20:27:38,83
A00291,S1024,MATH150,video,MATH150-V0202,2025-03-16 12:07:20,54
A00292,S1050,CS101,video,CS101-V0803,2025-03-01 17:07:14,65
A00293,S1011,CS101,reading,CS101-R0604,2025-03-08 21:17:08,81
A00294,S1043,DS200,video,DS200-V0904,2025-04-19 07:16:16,30
A00295,S1009,CS301,quiz,CS301-Q0704,2025-04-25 15:08:21,67
A00296,S1044,MATH150,lecture,MATH150-L0802,2025-04-17 15:30:34,2
A00297,S1046,DS400,lecture,DS400-L0203,2025-03-04 10:28:24,52
A00298,S1050,DS200,quiz,DS200-Q0104,2025-04-16 13:58:19,5
A00299,S1043,DS200,discussion,DS200-D0105,2025-03-02 14:00:48,54
A00300,S1026,DS400,reading,DS400-R0603,2025-02-02 15:20:20,36
A00301,S1034,DS400,video,DS400-V0704,2025-04-05 09:16:23,27
A00302,S1035,DS400,discussion,DS400-D0803,2025-04-29 01:21:28,84
A00303,S1026,DS200,reading,DS200-R0201,2025-03-26 01:14:10,43
A00304,S1025,DS200,discussion,DS200-D0903,2025-02-22 14:57:47,12
A00305,S1033,DS400,reading,DS400-R0903,2025-04-16 08:58:16,82
A00306,S1011,CS101,lecture,CS101-L0905,2025-02-26 23:43:02,31
A00307,S1050,MATH150,assignment,MATH150-A0705,2025-02-12 14:16:25,8
A00308,S1024,MATH150,assignment,MATH150-A0903,2025-02-13 21:25:50,7
A00309,S1049,CS101,quiz,CS101-Q0505,2025-04-14 09:55:50,1
A00310,S1030,MATH150,video,MATH150-V1005,2025-04-12 06:10:26,81
A00311,S1043,DS400,discussion,DS400-D0403,2025-03-02 22:06:57,37
A00312,S1043,DS400,assignment,DS400-A0304,2025-03-24 07:50:11,32
A00313,S1007,MATH150,discussion,MATH150-D1002,2025-04-22 18:17:17,47
A00314,S1030,CS101,video,CS101-V0704,2025-02-09 19:52:34,12
A00315,S1004,CS301,video,CS301-V0802,2025-03-17 04:33:47,10
A00316,S1024,DS400,quiz,DS400-Q1005,2025-03-24 06:09:18,51
A00317,S1017,DS400,quiz,DS400-Q0704,2025-04-09 18:27:12,63
A00318,S1047,CS301,video,CS301-V0305,2025-02-14 05:08:45,63
A00319,S1046,CS301,video,CS301-V0905,2025-02-13 08:01:15,89
A00320,S1014,CS301,quiz,CS301-Q0102,2025-03-28 03:33:07,48
A00321,S1008,DS400,quiz,DS400-Q0201,2025-03-09 18:07:23,74
A00322,S1019,CS101,discussion,CS101-D0301,2025-03-09 22:30:26,40
A00323,S1024,MATH150,reading,MATH150-R0801,2025-04-19 16:33:49,19
A00324,S1010,DS400,quiz,DS400-Q0103,2025-04-29 04:34:44,37
A00325,S1014,DS200,assignment,DS200-A0801,2025-02-13 17:58:12,71
A00326,S1023,CS101,lecture,CS101-L0704,2025-03-29 12:15:00,40
A00327,S1037,CS301,reading,CS301-R0704,2025-04-23 21:21:29,78
A00328,S1009,DS200,discussion,DS200-D0804,2025-04-07 15:39:45,58
A00329,S1010,MATH150,lecture,MATH150-L1005,2025-03-13 15:25:43,50
A00330,S1015,CS301,reading,CS301-R0901,2025-04-07 23:10:22,57
A00331,S1048,MATH150,assignment,MATH150-A0202,2025-04-11 12:50:27,4
A00332,S1037,MATH150,discussion,MATH150-D0205,2025-02-10 03:20:39,25
A00333,S1040,DS400,discussion,DS400-D0105,2025-03-24 12:42:00,25
A00334,S1049,CS301,discussion,CS301-D0101,2025-04-06 18:46:10,69
A00335,S1012,CS101,reading,CS101-R0402,2025-04-23 10:14:40,75
A00336,S1029,CS101,discussion,CS101-D1003,2025-03-12 21:10:56,76
A00337,S1003,CS301,lecture,CS301-L0604,2025-02-19 09:32:22,54
A00338,S1002,DS400,reading,DS400-R0703,2025-02-10 17:01:45,15
A00339,S1007,DS400,video,DS400-V0502,2025-02-19 14:34:30,33
A00340,S1050,CS101,video,CS101-V0504,2025-04-08 18:11:53,22
A00341,S1004,DS400,reading,DS400-R0301,2025-04-12 03:02:11,8
A00342,S1020,CS301,lecture,CS301-L0602,2025-03-13 22:52:20,42
A00343,S1017,CS301,lecture,CS301-L0102,2025-02-25 03:17:15,77
A00344,S1038,DS200,quiz,DS200-Q0905,2025-03-11 06:09:14,15
A00345,S1018,CS101,reading,CS101-R0805,2025-03-13 09:28:56,9
A00346,S1031,CS101,quiz,CS101-Q0401,2025-02-28 00:06:47,71
A00347,S1038,CS101,video,CS101-V0902,2025-03-03 10:43:29,73
A00348,S1027,CS301,lecture,CS301-L0902,2025-04-18 21:10:18,19
A00349,S1024,DS400,video,DS400-V0405,2025-03-15 00:20:25,72
A00350,S1029,CS101,lecture,CS101-L0805,2025-03-01 22:55:32,84
A00351,S1011,CS101,lecture,CS101-L0803,2025-03-31 22:03:30,33
A00352,S1044,CS301,reading,CS301-R0405,2025-04-24 11:51:42,66
A00353,S1019,CS101,video,CS101-V0905,2025-02-08 15:53:11,39
A00354,S1006,CS301,assignment,CS301-A0202,2025-04-13 06:28:11,72
A00355,S1018,CS301,video,CS301-V1005,2025-04-20 17:51:10,41
A00356,S1044,MATH150,assignment,MATH150-A0504,2025-02-28 09:05:32,32
